GeneName	Chr	Start	End
Ino80dos	1	63113078	63158290
1700020I14Rik	2	119594297	119607502
4731419I09Rik	3	89337850	89347831
Gm26825	5	5781530	5783636
RP23-61N4.3	6	41055883	41063102
Gm26673	6	126718684	126741601
Gm26827	7	66109515	66173121
Gm20204	8	117210778	117215997
A530017D24Rik	11	61864568	61868058
2410018L13Rik	12	22953997	23010284
1700086L19Rik	12	74284281	74295945
Gm28933	12	99190078	99191484
Gm26723	12	100208988	100209814
Gm26735	13	28943048	28951671
Gm26819	13	69809914	69816094
C130071C03Rik	13	83721381	83884194
A830039N20Rik	14	23292291	23293643
Gm26635	16	17254960	17260326
Yam1	17	39846958	39848788
Gm26823	18	31859082	31861764
Gm4221	18	54990310	55079414
