GeneId	Chr	Start	End	Strand	GeneName
ENSMUSG00000100980	1	91798528	91802937	-	Gm29100
ENSMUSG00000104444	3	28807205	28813985	-	RP24-388D8.6
ENSMUSG00000087660	3	94959034	94962048	-	B230398E01Rik
ENSMUSG00000086556	3	96209627	96220168	-	Gm15444
ENSMUSG00000093656	3	96267075	96270289	-	Gm20628
ENSMUSG00000089998	3	103964536	103968581	-	Phtf1os
ENSMUSG00000086587	4	14929908	14953030	+	Gm11837
ENSMUSG00000097216	5	57570082	57720201	-	4932441J04Rik
ENSMUSG00000086220	5	136274996	136417894	+	Gm16599
ENSMUSG00000089961	6	124530911	124542310	+	Gm16567
ENSMUSG00000055048	7	57387272	57409941	+	Gm9962
ENSMUSG00000086773	8	41039756	41042053	+	Gm16192
ENSMUSG00000090724	9	78394956	78396158	-	4930542C12Rik
ENSMUSG00000089804	15	37231921	37233309	-	Gm16136
ENSMUSG00000087554	16	17139675	17140483	+	Gm15646
ENSMUSG00000043168	18	21651448	21656105	+	4930426D05Rik
